acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,arstist_id,artist_name,genre,name
0.171,0.572,241600.0,0.835,7N3PAbqfTjSEU1edb2tY8j,0.000377,0.0,0.0702,-6.219,1.0,0.0317,129.981,4.0,0.795,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,Rock,Jump - 2015 Remaster
0.000894,0.377,285133.0,0.682,1QEEqeFIZktqIpPI4jSVSF,0.00217,7.0,0.0504,-8.039,1.0,0.0299,108.736,4.0,0.288,29kkCKKGXheHuoO829FxWK,Boston,Rock,More Than a Feeling
0.181,0.596,283800.0,0.605,7e89621JPkKaeDSTQ3avtg,0.000331,7.0,0.0863,-12.145,1.0,0.0255,97.798,4.0,0.886,4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,Rock,Sweet Home Alabama
0.448,0.55,214733.0,0.824,7MRyJPksH3G2cXHN8UKYzP,0.000127,2.0,0.366,-5.988,1.0,0.0334,114.512,4.0,0.777,4tX2TplrkIP4v05BNC903e,Tom Petty and the Heartbreakers,Rock,American Girl
0.365,0.596,264504.0,0.448,1bp2IO61zbQrbWNmKKxg3f,5.3e-06,5.0,0.206,-9.616,1.0,0.0396,83.293,4.0,0.796,6QtGlUje9TIkLrgPZrESuk,Steve Miller Band,Rock,The Joker
0.475,0.684,250000.0,0.481,6FRwDxXsvSasw0y2eDArsz,6.57e-05,2.0,0.118,-12.59,1.0,0.0384,115.078,4.0,0.784,74oJ4qxwOZvX6oSsu1DGnw,Cream,Rock,Sunshine Of Your Love
0.115,0.261,234332.0,0.703,2lFFiNm0XtgJ6wkdncTB4k,0.00078,6.0,0.102,-7.871,1.0,0.0414,83.495,4.0,0.405,6DCIj8jNaNpBz8e5oKFPtp,The Cars,Rock,Drive - 2017 Remaster
0.58,0.338,482830.0,0.34,5CQ30WqJwcep0pYcV4AMNc,0.0032,9.0,0.116,-12.049,0.0,0.0339,82.433,4.0,0.197,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Rock,Stairway to Heaven - Remaster
0.00257,0.599,188067.0,0.79,05NYcsjJwOYq4jIiKPVj9p,0.00181,4.0,0.312,-3.58,1.0,0.043,103.783,4.0,0.961,5krkohEVJYw0qoB5VWwxaC,The Black Crowes,Rock,Hard To Handle
0.00249,0.545,230480.0,0.64,70YvYr2hGlS01bKRIho1HM,0.0304,4.0,0.196,-9.937,0.0,0.224,80.544,4.0,0.606,2AM4ilv6UzW0uMRuqKtDgN,ZZ Top,Rock,La Grange - 2005 Remaster
0.78,0.806,191227.0,0.462,1JkZg3eMQTmTn93E8Yd3UL,0.0134,2.0,0.15,-12.778,1.0,0.0298,92.726,4.0,0.736,1LB8qB5BPb3MHQrfkvifXU,Cheap Trick,Rock,I Want You to Want Me
0.0029,0.333,308120.0,0.927,5QTxFnGygVM4jFQiBovmRo,0.000208,9.0,0.297,-8.55,0.0,0.0733,141.466,4.0,0.385,00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult,Rock,(Don't Fear) The Reaper
0.0327,0.28,270080.0,0.908,5XcZRgJv3zMhTqCyESjQrF,8.85e-06,2.0,0.18,-5.509,0.0,0.109,118.698,4.0,0.26,3EhbVgyfGd7HkpsagwL9GS,Alice Cooper,Rock,Poison
0.234,0.445,266720.0,0.706,43DeSV93pJPT4lCZaWZ6b1,0.000252,8.0,0.205,-9.803,1.0,0.0461,80.823,4.0,0.768,6biWAmrHyiMkX49LkycGqQ,Thin Lizzy,Rock,The Boys Are Back In Town
0.13,0.598,340742.0,0.676,5MMnwYs0hIxkENRsbkWJ2G,0.225,0.0,0.112,-9.211,1.0,0.0279,114.169,4.0,0.805,568ZhdwyaiCyOGJRtNYhWf,Deep Purple,Rock,Smoke On The Water - Remastered 2012
0.212,0.623,256000.0,0.449,5tVA6TkbaAH9QMITTQRrNv,0.0,5.0,0.0613,-13.333,1.0,0.0253,84.383,4.0,0.572,2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,Rock,Free Fallin'
